im alive kurva
SX1280 LoRa! Running
[SX1280] Starting to listen ... success!
[SX1280] Ranging ... 0.00 meters (raw)
[SX1280] Ranging ... 0.00 meters (raw)
[SX1280] Ranging ... 0.00 meters (raw)
[SX1280] Ranging ... 0.00 meters (raw)
[SX1280] Ranging ... 0.00 meters (raw)
[SX1280] Ranging ... 0.00 meters (raw)
[SX1280] Ranging ... 0.00 meters (raw)
[SX1280] Ranging ... 0.00 meters (raw)
[SX1280] Ranging ... 0.00 meters (raw)
[SX1280] Ranging ... 0.00 meters (raw)
[SX1280] Ranging ... 0.00 meters (raw)
[SX1280] Ranging ... 0.00 meters (raw)
[SX1280] Ranging ... 0.00 meters (raw)
[SX1280] Ranging ... 0.00 meters (raw)
[SX1280] Ranging ... 0.00 meters (raw)
[SX1280] Ranging ... 0.00 meters (raw)
[SX1280] Ranging ... 0.00 meters (raw)
[SX1280] Ranging ... 0.00 meters (raw)
[SX1280] Ranging ... 0.00 meters (raw)
[SX1280] Ranging ... 0.00 meters (raw)
[SX1280] Ranging ... 0.00 meters (raw)
[SX1280] Ranging ... 0.00 meters (raw)
[SX1280] Ranging ... 0.00 meters (raw)
[SX1280] Ranging ... 0.00 meters (raw)
[SX1280] Ranging ... 0.00 meters (raw)
[SX1280] Ranging ... 0.00 meters (raw)
[SX1280] Ranging ... 0.00 meters (raw)
[SX1280] Ranging ... 0.00 meters (raw)
[SX1280] Ranging ... 0.00 meters (raw)
[SX1280] Ranging ... 0.00 meters (raw)
[SX1280] Ranging ... 0.00 meters (raw)
[SX1280] Ranging ... 0.00 meters (raw)
[SX1280] Ranging ... 0.00 meters (raw)
[SX1280] Ranging ... 0.00 meters (raw)
[SX1280] Ranging ... 0.00 meters (raw)
[SX1280] Ranging ... 0.00 meters (raw)
[SX1280] Ranging ... 0.00 meters (raw)
[SX1280] Ranging ... timed out!
[SX1280] Ranging ... 0.00 meters (raw)
[SX1280] Ranging ... 0.00 meters (raw)
[SX1280] Ranging ... 0.00 meters (raw)
[SX1280] Ranging ... timed out!
[SX1280] Ranging ... 0.00 meters (raw)
[SX1280] Ranging ... 0.00 meters (raw)
[SX1280] Ranging ... 0.00 meters (raw)
[SX1280] Ranging ... 0.00 meters (raw)
[SX1280] Ranging ... 0.00 meters (raw)
[SX1280] Ranging ... 0.00 meters (raw)
[SX1280] Ranging ... 0.00 meters (raw)
[SX1280] Ranging ... 0.00 meters (raw)
[SX1280] Ranging ... 0.00 meters (raw)
[SX1280] Ranging ... 0.00 meters (raw)
[SX1280] Ranging ... 0.00 meters (raw)
[SX1280] Ranging ... 0.00 meters (raw)
[SX1280] Ranging ... 0.00 meters (raw)
[SX1280] Ranging ... 0.00 meters (raw)
[SX1280] Ranging ... 0.00 meters (raw)
